Feature,CURIE,Definition,Synonyms,PPMI,BIOFIND,LuxPARK,LCC,PRoBaND,OPDC,OMOP
Neuro-QoL Lower Extremity Function - Question 6,,Are you able to get out of bed into a chair?,,NQMOB32,,,,,,40764389.0
Neuro-QoL Lower Extremity Function - Question 7,,Are you able to run errands and shop?,,NQMOB33,,,,,,40764396.0
Neuro-QoL Lower Extremity Function - Question 8,NCIT:C122364,Are you able to get on and off the toilet?,Ability to Get On and Off the Toilet,NQMOB37,,,,,,40764465.0
Neuro-QoL Upper Extremity Function - Question 1,NCIT:C121249,Are you able to brush your teeth?,"Brushing your teeth, Ability to Brush Your Teeth",NQUEX20,,,,,,40764393.0
Neuro-QoL Upper Extremity Function - Question 2,,Are you able to open and close a zipper?,,NQUEX28,,,,,,40764379.0
Neuro-QoL Upper Extremity Function - Question 3,NCIT:C121258,Are you able to turn a key in a lock?,"Turning a key in a lock, Ability to Turn a Key in a Lock",NQUEX29,,,,,,40764384.0
Neuro-QoL Upper Extremity Function - Question 4,,Are you able to write with a pen or pencil?,,NQUEX30,,,,,,40764387.0
Neuro-QoL Upper Extremity Function - Question 5,NCIT:C122363,Are you able to wash and dry your body?,Ability to Wash and Dry Your Body,NQUEX33,,,,,,40764398.0
Neuro-QoL Upper Extremity Function - Question 6,,Are you able to pick up coins from a table top?,,NQUEX36,,,,,,40764417.0
Neuro-QoL Upper Extremity Function - Question 7,NCIT:C122362,Are you able to shampoo your hair?,Ability to Shampoo Your Hair,NQUEX37,,,,,,40764422.0
Neuro-QoL Upper Extremity Function - Question 8,,Are you able to make a phone call using a touch tone key-pad?,,NQUEX44,,,,,,40770532.0
MDS-UPDRS - Cognitive Impairment,NCIT:C100473,"The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Over the past week have you had problems remembering things, following conversations, paying attention, thinking clearly, or finding your way around the house or in town?","MDS-UPDRS - Cognitive Impairment, UPD2101, UPD2-Cognitive Impairment",NP1COG,NP1COG,u_q1_1,NP1COG,,,
MDS-UPDRS - Hallucinations and Psychosis,NCIT:C100474,"The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Over the past week have you seen, heard, smelled or felt things that were not really there?","UPD2102, UPD2-Hallucinations and Psychosis, MDS-UPDRS - Hallucinations and Psychosis",NP1HALL,NP1HALL,u_q1_2,NP1HALL,UPDRS_hallucinations,,46236377.0
MDS-UPDRS - Depressed Mood,NCIT:C100475,"The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Over the past week have you felt low, sad, hopeless or unable to enjoy things? If yes, was this feeling for longer than one day at a time? Did it make it difficult for you carry out your usual activities or to be with people?","UPD2-Depressed Mood, UPD2103, MDS-UPDRS - Depressed Mood",NP1DPRS,NP1DPRS,u_q1_3,NP1DPRS,,,46236378.0
MDS-UPDRS - Anxious Mood,NCIT:C100476,"The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Over the past week have you felt nervous, worried or tense? If yes, was this feeling for longer than one day at a time? Did it make it difficult for you to follow your usual activities or to be with other people?","UPD2-Anxious Mood, UPD2104, MDS-UPDRS - Anxious Mood",NP1ANXS,NP1ANXS,u_q1_4,NP1ANXS,,,
MDS-UPDRS - Apathy,NCIT:C100477,"The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Over the past week, have you felt indifferent to doing activities or being with people?","UPD2105, MDS-UPDRS - Apathy, UPD2-Apathy",NP1APAT,NP1APAT,u_q1_5,NP1APAT,UPDRS_apathy,,
MDS-UPDRS - Features of Dopamine Dysregulation Syndrome,NCIT:C100478,"The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Over the past week, have you had unusually strong urges that are hard to control? Do you feel driven to do or think about something and find it hard to stop?","UPD2106, MDS-UPDRS - Features of Dopamine Dysregulation Syndrome, UPD2-Ftrs Dopa Dysregulation Synd",NP1DDS,NP1DDS,u_q1_6,NP1DDS,,,
MDS-UPDRS Part I nM-EDL,,,,NP1RTOT,No total score.,No total score.,No total score.,,ae_*,
MDS-UPDRS - Sleep Problems,NCIT:C100479,"The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Over the past week, have you had trouble going to sleep at night or staying asleep through the night?","UPD2107, MDS-UPDRS - Sleep Problems, UPD2-Sleep Problems",NP1SLPN,NP1SLPN,u_q1_7,NP1SLPN,,,46236402.0
MDS-UPDRS - Daytime Sleepiness,NCIT:C100480,"The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Over the past week, have you had trouble staying awake during the daytime?","UPD2-Daytime Sleepiness, MDS-UPDRS - Daytime Sleepiness, UPD2108",NP1SLPD,NP1SLPD,u_q1_8,NP1SLPD,,,
MDS-UPDRS - Pain and Other Sensations,NCIT:C100481,"The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Over the past week, have you had uncomfortable feelings in your body like pain, aches tingling or cramps?","UPD2-Pain and other Sensations, UPD2109, MDS-UPDRS - Pain and Other Sensations",NP1PAIN,NP1PAIN,u_q1_9,NP1PAIN,UPDRS_pain,,
MDS-UPDRS - Urinary Problems,NCIT:C100482,"The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Over the past week, have you had trouble with urine control?","UPD2-Urinary Problems, UPD2110, MDS-UPDRS - Urinary Problems",NP1URIN,NP1URIN,u_q1_10,NP1URN,,,
MDS-UPDRS - Constipation Problems,NCIT:C100483,The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Over the past week have you had constipation troubles that cause you difficulty moving your bowels?,"UPD2-Constipation Problems, UPD2111, MDS-UPDRS - Constipation Problems",NP1CNST,NP1CNST,u_q1_11,NP1CNST,UPDRS_constipation,,
MDS-UPDRS - Lightheadedness on Standing,NCIT:C100484,"The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Over the past week, have you felt faint, dizzy or foggy when you stand up after sitting or lying down?","UPD2-Lightheadedness on Standing, MDS-UPDRS - Lightheadedness on Standing, UPD2112",NP1LTHD,NP1LTHD,u_q1_12,NP1LTHD,,,
MDS-UPDRS - Fatigue,NCIT:C100485,"The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Over the past week, have you usually felt fatigued?","UPD2-Fatigue, UPD2113, MDS-UPDRS - Fatigue",NP1FATG,NP1FATG,u_q1_13,NP1FATG,UPDRS_fatigue,,
MDS-UPDRS Part I Patient Questionnaire,,,,NP1PTOT,No total score.,No total score.,No total score.,,,
MDS-UPDRS Part I,,,,No total score.,No total score.,u_part1_score,No total score.,UPDRS_I,updrs_i,
MDS-UPDRS - Speech,NCIT:C100486,"The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Over the past week, have you had problems with your speech?","MDS-UPDRS - Speech, UPD2-Speech, UPD2201",NP2SPCH,NP2SPCH,u_q2_1,NP2SPCH,,,40768722.0
MDS-UPDRS - Saliva and Drooling,NCIT:C100487,"The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Over the past week, have you usually had too much saliva during when you are awake or when you sleep?","UPD2202, MDS-UPDRS - Saliva and Drooling, UPD2-Saliva and Drooling",NP2SALV,NP2SALV,u_q2_2,NP2SALV,,,46236381.0
MDS-UPDRS - Chewing and Swallowing,NCIT:C100488,"The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Over the past week, have you usually had problems swallowing pills or eating meals?","UPD2-Chewing and Swallowing, MDS-UPDRS - Chewing and Swallowing, UPD2203",NP2SWAL,NP2SWAL,u_q2_3,NP2SWAL,,,46236382.0
MDS-UPDRS - Eating Tasks,NCIT:C100489,"The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Over the past week, have you usually had troubles handling your food and using eating utensils?","UPD2204, UPD2-Eating Tasks, MDS-UPDRS - Eating Tasks",NP2EAT,NP2EAT,u_q2_4,NP2EAT,,,
MDS-UPDRS - Dressing,NCIT:C100490,"The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Over the past week, have you usually had problems dressing?","UPD2-Dressing, MDS-UPDRS - Dressing, UPD2205",NP2DRES,NP2DRES,u_q2_5,NP2DRES,,,46236385.0
MDS-UPDRS - Hygiene,NCIT:C100491,"The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Over the past week, have you usually been slow or do you need help with washing, bathing, shaving, brushing teeth, combing your hair or with other personal hygiene?","UPD2206, MDS-UPDRS - Hygiene, UPD2-Hygiene",NP2HYGN,NP2HYGN,u_q2_6,NP2HYGN,,,46236386.0
MDS-UPDRS - Handwriting,NCIT:C100492,"The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Over the past week, have people usually had trouble reading your handwriting?","UPD2207, UPD2-Handwriting, MDS-UPDRS - Handwriting",NP2HWRT,NP2HWRT,u_q2_7,NP2HWRT,,,46236383.0
MDS-UPDRS - Doing Hobbies and Other Activities,NCIT:C100493,"The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Over the past week, have you usually had trouble doing your hobbies or other things that you like to do?","UPD2208, MDS-UPDRS - Doing Hobbies and Other Activities, UPD2-Doing Hobbies/Other Activities",NP2HOBB,NP2HOBB,u_q2_8,NP2HOBB,,,
MDS-UPDRS - Turning in Bed,NCIT:C100494,"The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Over the past week, do you usually have trouble turning over in bed?","UPD2-Turning in Bed, UPD2209, MDS-UPDRS - Turning in Bed",NP2TURN,NP2TURN,u_q2_9,NP2TURN,,,46236387.0
MDS-UPDRS - Tremor,NCIT:C100495,"The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Over the past week, have you usually had shaking or tremor?","MDS-UPDRS - Tremor, UPD2210, UPD2-Tremor",NP2TRMR,NP2TRMR,u_q2_10,NP2TRMR,,,46236391.0
"MDS-UPDRS - Get Out of Bed, Car, or Deep Chair",NCIT:C101018,"The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Over the past week, have you usually had trouble getting out of bed, a car seat, or a deep chair?","UPD2-Get Out of Bed/Car/Deep Chair, UPD2211, MDS-UPDRS - Get Out of Bed, Car, or Deep Chair",NP2RISE,NP2RISE,u_q2_11,NP2RISE,,,
MDS-UPDRS - Walking and Balance,NCIT:C100496,"The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Over the past week, have you usually had problems with balance and walking?","UPD2-Walking and Balance, MDS-UPDRS - Walking and Balance, UPD2212",NP2WALK,NP2WALK,u_q2_12,NP2WALK,,,46236390.0
MDS-UPDRS - Freezing,NCIT:C100497,"The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Over the past week, on your usual day when walking, do you suddenly stop or freeze as if your feet are stuck to the floor?","UPD2-Freezing, MDS-UPDRS - Freezing, UPD2213",NP2FREZ,NP2FREZ,u_q2_13,NP2FREZ,,,
MDS-UPDRS Part II,,,,NP2PTOT,No total score.,u_part2_score,No total score.,UPDRS_II,,
MDS-UPDRS - Speech Problems,NCIT:C100502,The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Speech problems.,"MDS-UPDRS - Speech Problems, UPD2301, UPD2-Speech Problems, ",NP3SPCH,NP3SPCH,u_q3_1,NP3SPCH,UPDRS_speech,updrs_speech,40768722.0
MDS-UPDRS - Facial Expression,NCIT:C100503,The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Facial expression.,"UPD2302, UPD2-Facial Expression, MDS-UPDRS - Facial Expression",NP3FACXP,NP3FACXP,u_q3_2,NP3FACXP,,,40768723.0
MDS-UPDRS - Rigidity Neck,NCIT:C100504,The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Rigidity neck.,"UPD2-Rigidity Neck, MDS-UPDRS - Rigidity Neck, UPD2303A",NP3RIGN,NP3RIGN,u_q3_3_1,NP3RIGN,,,40768721.0
MDS-UPDRS - Rigidity Right Upper Extremity,NCIT:C100505,The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Rigidity right upper extremity.,"UPD2-Rigidity RT Upper Extremity, UPD2303B, MDS-UPDRS - Rigidity Right Upper Extremity",NP3RIGRU,NP3RIGRU,u_q3_3_2,NP3RIGRU,,,40768873.0
MDS-UPDRS - Rigidity Left Upper Extremity,NCIT:C100506,The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Rigidity left upper extremity.,"UPD2303C, UPD2-Rigidity Left Upper Extremity, MDS-UPDRS - Rigidity Left Upper Extremity",NP3RIGLU,NP3RIGLU,u_q3_3_3,NP3RIGLU,,,40768874.0
MDS-UPDRS - Rigidity Right Lower Extremity,NCIT:C100507,The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Rigidity right lower extremity.,"UPD2-Rigidity RT Lower Extremity, MDS-UPDRS - Rigidity Right Lower Extremity, UPD2303D",NP3RIGRL,PN3RIGRL,u_q3_3_4,NP3RIGRL,,,40768875.0
MDS-UPDRS - Rigidity Left Lower Extremity,NCIT:C100508,The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Rigidity left lower extremity.,"UPD2-Rigidity Left Lower Extremity, UPD2303E, MDS-UPDRS - Rigidity Left Lower Extremity",NP3RIGLL,NP3RIGLL,u_q3_3_5,NP3RIGLL,,,40768876.0
MDS-UPDRS - Right Finger Tapping,NCIT:C100509,The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Right finger tapping.,"UPD2-Right Finger Tapping, MDS-UPDRS - Right Finger Tapping, UPD2304A",NP3FTAPR,NP3FTAPR,u_q3_4_1,NP3FTAPR,,,40768384.0
MDS-UPDRS - Left Finger Tapping,NCIT:C100510,The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Left finger tapping.,"UPD2-Left Finger Tapping, MDS-UPDRS - Left Finger Tapping, UPD2304B",NP3FTAPL,NP3FTAPL,u_q3_4_2,NP3FTAPL,,,40768385.0
MDS-UPDRS - Right Hand Movements,NCIT:C100511,The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Right hand movements.,"UPD2305A, UPD2-Right Hand Movements, MDS-UPDRS - Right Hand Movements",NP3HMOVR,NP3HMOVR,u_q3_5_1,NP3HMOVR,,,40768386.0
MDS-UPDRS - Left Hand Movements,NCIT:C100512,The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Left hand movements.,"MDS-UPDRS - Left Hand Movements, UPD2305B, UPD2-Left Hand Movements",NP3HMOVL,NP3HMOVL,u_q3_5_2,NP3HMOVL,,,40768387.0
MDS-UPDRS - Pronanation-Supination Movement of Right Hand,NCIT:C100513,The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Pronation-supination movements of right hand.,"UPD2306A, UPD2-Pron/Sup Movement of RT Hand, MDS-UPDRS - Pronanation-Supination Movement of Right Hand",NP3PRSPR,NP3PRSPR,u_q3_6_1,NP3PRSPR,,,
MDS-UPDRS - Pronanation-Supination Movement of Left Hand,NCIT:C100514,The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Pronation-supination movements of left hand.,"UPD2-Pron/Sup Movement of Left Hand, MDS-UPDRS - Pronanation-Supination Movement of Left Hand, UPD2306B",NP3PRSPL,NP3PRSPL,u_q3_6_2,NP3PRSPL,,,
MDS-UPDRS - Right Toe Tapping,NCIT:C100515,The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Right toe tapping.,"MDS-UPDRS - Right Toe Tapping, UPD2-Right Toe Tapping, UPD2307A",NP3TTAPR,NP3TTAPR,u_q3_7_1,NP3TTAPR,,,
MDS-UPDRS - Left Toe Tapping,NCIT:C100516,The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Left toe tapping.,"UPD2307B, MDS-UPDRS - Left Toe Tapping, UPD2-Left Toe Tapping",NP3TTAPL,NP3TTAPL,u_q3_7_2,NP3TTAPL,,,
MDS-UPDRS - Right Leg Agility,NCIT:C100517,The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Right leg agility.,"UPD2308A, UPD2-Right Leg Agility, MDS-UPDRS - Right Leg Agility",NP3LGAGR,NP3LGAGR,u_q3_8_1,NP3LGAGR,,,40768390.0
MDS-UPDRS - Left Leg Agility,NCIT:C100518,The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Left leg agility.,"UPD2-Left Leg Agility, MDS-UPDRS - Left Leg Agility, UPD2308B",NP3LGAGL,NP3LGAGL,u_q3_8_2,NP3LGAGL,,,40768391.0
MDS-UPDRS - Arising from Chair,NCIT:C100519,The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Arising from chair.,"UPD2-Arising from Chair, MDS-UPDRS - Arising from Chair, UPD2309",NP3RISNG,NP3RISNG,u_q3_9,NP3RISNG,,,40768392.0
MDS-UPDRS - Gait,NCIT:C100520,The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Gait.,"UPD2-Gait, UPD2310, MDS-UPDRS - Gait",NP3GAIT,NP3GAIT,u_q3_10,NP3GAIT,,,40768394.0
MDS-UPDRS - Freezing of Gait,NCIT:C100521,The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Freezing of gait.,"MDS-UPDRS - Freezing of Gait, UPD2-Freezing of Gait, UPD2311",NP3FRZGT,NP3FRZGT,u_q3_11,NP3FRZGT,,,
MDS-UPDRS - Postural Stability,NCIT:C100522,The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Postural stability.,"UPD2312, UPD2-Postural Stability, MDS-UPDRS - Postural Stability",NP3PSTBL,NP3PSTBL,u_q3_12,NP3PSTBL,,,40768395.0
MDS-UPDRS - Posture,NCIT:C100523,The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Posture.,"UPD2-Posture, MDS-UPDRS - Posture, UPD2313",NP3POSTR,NP3POSTR,u_q3_13,NP3POSTR,,,40768393.0
MDS-UPDRS - Body Bradykinesia,NCIT:C100524,The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Global spontaneity of movement (body bradykinesia).,"UPD2-Body Bradykinesia, UPD2314, MDS-UPDRS - Body Bradykinesia",NP3BRADY,NP3BRADY,u_q3_14,NP3BRADY,,,40768499.0
MDS-UPDRS - Postural Tremor of Right Hand,NCIT:C100525,The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Postural tremor of the right hand.,"MDS-UPDRS - Postural Tremor of Right Hand, UPD2315A, UPD2-Postural Tremor of Right Hand",NP3PTRMR,NP3PTRMR,u_q3_15_1,NP3PTRMR,,,
MDS-UPDRS - Postural Tremor of Left Hand,NCIT:C113882,The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Postural Tremor of the Left Hand.,"UPD2-Postural Tremor of Left Hand, UPD2315B, MDS-UPDRS - Postural Tremor of Left Hand",NP3PTRML,NP3PTRML,u_q3_15_2,NP3PTRML,,,
MDS-UPDRS - Kinetic Tremor of Right Hand,NCIT:C113883,The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Kinetic Tremor of the Right Hand.,"MDS-UPDRS - Kinetic Tremor of Right Hand, UPD2-Kinetic Tremor of Right Hand, UPD2316A",NP3KTRMR,NP3KTRMR,u_q3_16_1,NP3KTRMR,,,
MDS-UPDRS - Kinetic Tremor of Left Hand,NCIT:C100526,The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Kinetic tremor of the left hand.,"UPD2-Kinetic Tremor of Left Hand, UPD2316B, MDS-UPDRS - Kinetic Tremor of Left Hand",NP3KTRML,NP3KTRML,u_q3_16_2,NP3KTRML,,,
MDS-UPDRS - Rest Tremor Amplitude Right Upper Extremity,NCIT:C100527,The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Rest tremor amplitude right upper extremity.,"UPD2-Rest Tremor Amplitude RUE, UPD2317A, MDS-UPDRS - Rest Tremor Amplitude Right Upper Extremity",NP3RTARU,NP3RTARU,u_q3_17_1,NP3RTARU,,,
MDS-UPDRS - Rest Tremor Amplitude Left Upper Extremity,NCIT:C100528,The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Rest tremor amplitude left upper extremity.,"MDS-UPDRS - Rest Tremor Amplitude Left Upper Extremity, UPD2-Rest Tremor Amplitude LUE, UPD2317B",NP3RTALU,NP3RTALU,u_q3_17_2,NP3RTALU,,,
MDS-UPDRS - Rest Tremor Amplitude Right Lower Extremity,NCIT:C100529,The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Rest tremor amplitude right lower extremity.,"UPD2-Rest Tremor Amplitude RLE, UPD2317C, MDS-UPDRS - Rest Tremor Amplitude Right Lower Extremity",NP3RTARL,NP3RTARL,u_q3_17_3,NP3RTARL,,,
MDS-UPDRS - Rest Tremor Amplitude Left Lower Extremity,NCIT:C100530,The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Rest tremor amplitude left lower extremity.,"UPD2-Rest Tremor Amplitude LLE, MDS-UPDRS - Rest Tremor Amplitude Left Lower Extremity, UPD2317D",NP3RTALL,NP3RTALL,u_q3_17_4,NP3RTALL,,,
MDS-UPDRS - Rest Tremor Amplitude Lip or Jaw,NCIT:C100531,The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Rest tremor amplitude lip/jaw.,"UPD2317E, UPD2-Rest Tremor Amplitude Lip/Jaw, MDS-UPDRS - Rest Tremor Amplitude Lip or Jaw",NP3RTALJ,NP3RTALJ,u_q3_17_5,NP3RTALJ,,,
MDS-UPDRS - Consistency of Rest Tremor,NCIT:C100532,The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Consistency of rest tremor.,"UPD2-Consistency of Rest Tremor, MDS-UPDRS - Consistency of Rest Tremor, UPD2318",NP3RTCON,NP3RTCON,u_q3_18,NP3RTCON,,,
MDS-UPDRS - Dyskinesias During Exam,NCIT:C100533,The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Were dyskinesias (chorea or dystonia) present during examination?,"UPD2-Dyskinesias During Exam, UPD2DA, MDS-UPDRS - Dyskinesias During Exam",DYSKPRES,DYSKPRES,u_q19,DYSKPRES,,af_a_dyskinesias,
MDS-UPDRS - Movements Interfere with Ratings,NCIT:C100534,"The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) If yes, did these movements interfere with your ratings?","UPD2-Movements Interfere Ratings, UPD2DB, MDS-UPDRS - Movements Interfere with Ratings",DYSKIRAT,DYSKIRAT,u_q20,DYSKIRAT,,af_b_interfere,
MDS-UPDRS - Hoehn and Yahr Stage,NCIT:C100535,The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Hoehn and Yahr Stage.,"UPD2HY, UPD2-Hoehn and Yahr Stage, MDS-UPDRS - Hoehn and Yahr Stage",NHY,NHY,,NHY,,,
MDS-UPDRS Part III,,,,NP3TOT,No total score.,u_part3_score,No total score.,UPDRS_III,updrs_iii,
MDS-UPDRS - Time Spent with Dyskinesias,NCIT:C100536,The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Time spent with dyskinesias.,"UPD2-Time Spent with Dyskinesias, UPD2401, MDS-UPDRS - Time Spent with Dyskinesias",NP4WDYSK,NP4WDYSK,u_q4_1,NP4WDYSK,,,
MDS-UPDRS - Time Spent with Dyskinesias - Total Hours Awake,,,,NP4WDYSKDEN,,u_q4_1_1,,,,
MDS-UPDRS - Time Spent with Dyskinesias - Total Hours with Dyskinesia,,,,NP4WDYSKNUM,,u_q4_1_2,,,,
MDS-UPDRS - Time Spent with Dyskinesias - Percent Dyskinesia,,,,NP4WDYSKPCT,,u_q4_1_3,,,,
MDS-UPDRS - Functional Impact of Dyskinesias,NCIT:C100537,The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Functional impact of dyskinesias.,"UPD2402, UPD2-Functional Impact Dyskinesias, MDS-UPDRS - Functional Impact of Dyskinesias",NP4DYSKI,NP4DYSKI,u_q4_2,NP4DYSKI,,,
MDS-UPDRS - Time Spent in the Off State,NCIT:C100538,The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Time spent in the off state.,"UPD2403, UPD2-Time Spent in the Off State, MDS-UPDRS - Time Spent in the Off State",NP4OFF,NP4OFF,u_q4_3,NP4OFF,,,
MDS-UPDRS - Time Spent in the Off State - Total Hours Awake,,,,NP4OFFNUM,,u_q4_3_1,,,,
MDS-UPDRS - Time Spent in the Off State - Total Hours Off,,,,NP4OFFDEN,,u_q4_3_2,,,,
MDS-UPDRS - Time Spent in the Off State - Percent Off,,,,NP4OFFPCT,,u_q4_3_3,,,,
MDS-UPDRS - Functional Impact of Fluctuations,NCIT:C100539,The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Functional impact of fluctuations.,"UPD2-Functional Impact Fluctuations, UPD2404, MDS-UPDRS - Functional Impact of Fluctuations",NP4FLCTI,NP4FLCTI,u_q4_4,NP4FLCTI,,,
MDS-UPDRS - Complexity of Motor Fluctuations,NCIT:C100540,The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Complexity of motor fluctuations.,"UPD2405, UPD2-Complexity Motor Fluctuations, MDS-UPDRS - Complexity of Motor Fluctuations",NP4FLCTX,NP4FLCTX,u_q4_5,NP4FLCTX,,,
MDS-UPDRS - Painful Off-state Dystonia,NCIT:C100541,The Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Painful off-state dystonia.,"UPD2-Painful Off-state Dystonia, UPD2406, MDS-UPDRS - Painful Off-state Dystonia",NP4DYSTN,NP4DYSTN,u_q4_6,NP4DYSTN,,,
MDS-UPDRS - Painful Off-state Dystonia - Total Hours Off,,,,NP4DYSTNNUM,,u_q4_6_1,,,,
MDS-UPDRS - Painful Off-state Dystonia - Total Hours Off with Dystonia,,,,NP4DYSTNDEN,,u_q4_6_2,,,,
MDS-UPDRS - Painful Off-state Dystonia - Percent Off Dystonia,,,,NP4DYSTNPCT,,u_q4_6_3,,,,
MDS-UPDRS Part IV,,,,NP4TOT,No total score.,u_part4_score,No total score.,UPDRS_IV,updrs_iv,
UPDRS - Modified Hoehn and Yahr Staging,NCIT:C100943,Unified Parkinson's Disease Rating Scale (UPDRS) Modified Hoehn and Yahr Staging.,"UPD1-Modified Hoehn and Yahr Staging, UPD143, UPDRS - Modified Hoehn and Yahr Stagin",,,hoehn_and_yahr_staging,MODHY,,,46236404.0
RBDSQ - Vivid Dreams,,REM Sleep Behavior Disorder Screening Questionnaire - Vivid Dreams,,DRMVIVID,DRMVIVID,rem_q1,DRMVIVID,,,46238155.0
RBDSQ - Aggressive or Action-packed dreams,,REM Sleep Behavior Disorder Screening Questionnaire - Aggressive or Action-packed dreams,,DRMAGRAC,DRMAGRAC,rem_q2,DRMAGRAC,,,
